"1984","George Orwell",328,16.99,"Mondadori","Drama"
"Il Signore degli Anelli","J.R.R. Tolkien",1216,45.00,"Bompiani","Fantasy"
"Il grande Gatsby","F. Scott Fitzgerald",180,14.99,"Newton Compton","Drama"
"Harry Potter e la pietra filosofale","J.K. Rowling",309,12.90,"Salani","Fantasy"
"Il Codice Da Vinci","Dan Brown",523,19.90,"Mondadori","Thriller"
"Orgoglio e Pregiudizio","Jane Austen",432,12.00,"Einaudi","Drama"
"Il nome della rosa","Umberto Eco",512,29.90,"Bompiani","Thriller"
"Il giovane Holden","J.D. Salinger",248,10.99,"Einaudi","Drama"
"Cento anni di solitudine","Gabriel García Márquez",422,16.50,"Mondadori","Drama"
"Don Chisciotte","Miguel de Cervantes",1056,24.99,"Einaudi","Classic"
"Le cronache di Narnia","C.S. Lewis",752,28.99,"Mondadori","Fantasy"
"Il maestro e Margherita","Michail Bulgakov",448,14.50,"Feltrinelli","Classic"
"La metamorfosi","Franz Kafka",96,9.50,"Adelphi","Classic"
"Ulisse","James Joyce",732,22.50,"Newton Compton","Classic"
"Fahrenheit 451","Ray Bradbury",192,13.99,"Mondadori","Classic"
"Il ritratto di Dorian Gray","Oscar Wilde",256,11.99,"Feltrinelli","Classic"
"Guerra e pace","Lev Tolstoj",1440,39.99,"Einaudi","Classic"
"Il vecchio e il mare","Ernest Hemingway",128,10.00,"Mondadori","Classic"
"Il deserto dei Tartari","Dino Buzzati",256,11.00,"Mondadori","Drama"
"La divina commedia","Dante Alighieri",798,25.00,"Einaudi","Classic"
"Shining","Stephen King",659,12.99,"Sperling & Kupfer","Thriller"
"Il silenzio degli innocenti","Thomas Harris",411,10.90,"Arnoldo Mondadori Editore","Thriller"
"Il codice Da Vinci","Dan Brown",523,19.90,"Mondadori","Thriller"
"L’uomo di neve","Jo Nesbø",496,13.99,"Einaudi","Thriller"
"La ragazza del treno","Paula Hawkins",378,14.99,"Piemme","Thriller"
"Il suggeritore","Donato Carrisi",486,12.00,"Longanesi","Thriller"
"Gone Girl","Gillian Flynn",432,11.99,"Rizzoli","Thriller"
"La psichiatra","Wulf Dorn",432,10.50,"Corbaccio","Thriller"
"Misery","Stephen King",448,11.99,"Sperling & Kupfer","Thriller"
"La casa delle voci","Donato Carrisi",400,14.99,"Longanesi","Thriller"
"Cime tempestose","Emily Brontë",416,9.99,"Einaudi","Drama"
"Anna Karenina","Lev Tolstoj",864,22.50,"Einaudi","Drama"
"Madame Bovary","Gustave Flaubert",352,10.00,"Feltrinelli","Drama"
"Delitto e castigo","Fëdor Dostoevskij",679,14.50,"Feltrinelli","Drama"
"La casa degli spiriti","Isabel Allende",352,11.90,"Feltrinelli","Drama"
"Il gattopardo","Giuseppe Tomasi di Lampedusa",231,9.99,"Feltrinelli","Drama"
"Le notti bianche","Fëdor Dostoevskij",128,7.99,"Feltrinelli","Drama"
"Clean Code","Robert C. Martin",464,38.00,"Apogeo","IT"
"Ethical Hacking","Daniel Graham",352,33.00,"Apogeo","IT"
"L'arte della programmazione Python","Cristian Tesconi",264,20.00,"Independently published","IT"
"Intelligenza artificiale","Kevin Warwick",288,22.00,"Webbook","IT"
"Clean Architecture","Robert C. Martin",320,39.50,"Apogeo","IT"
"Algoritmi per l'AI","Roberto Marmo",406,37.50,"Hoepli","IT"
"Introduzione agli algoritmi e strutture dati","Thomas H. Cormen",1168,58.90,"Mc Graw Hill","IT"
"40 algoritmi","Imran Ahmad",320,33.25,"Apogeo","IT"
"Fondamenti di informatica","Enrico Grosso",400,30.00,"Giappichelli","IT"
"Sticazzi. La suprema via della leggerezza","Andrea Pietrangeli",200,15.00,"Mondadori","Miscellaneous"
"L'arte di ricominciare","Fabio Rosini",300,23.00,"San Paolo","Miscellaneous"
"Can't Hurt Me","David Goggins",364,20.00,"Lioncrest Publishing","Miscellaneous"
"The Mamba mentality. Il mio basket","Kobe Bryant",208,20.00,"MCD","Miscellaneous"
"La coscienza di Zeno","Italo Svevo",400,12.00,"Einaudi","Classic"
"Se questo è un uomo","Primo Levi",187,9.00,"Einaudi","Classic"
"Siddhartha","Hermann Hesse",152,8.00,"Mondadori","Classic"
"Ikigai","Bettina Lemke",208,12.00,"Mondadori","Miscellaneous"
"La solitudine dei numeri primi","Paolo Giordano",288,14.00,"Mondadori","Drama"